,Periodo,1.Dólar observado,anio,mes,dia
4893,1996-01-01 00:00:00,,1996,01,01
4894,1996-01-02 00:00:00,406.91,1996,01,02
4895,1996-01-03 00:00:00,405.53,1996,01,03
4896,1996-01-04 00:00:00,404.76,1996,01,04
4897,1996-01-05 00:00:00,407.33,1996,01,05
4898,1996-01-06 00:00:00,,1996,01,06
4899,1996-01-07 00:00:00,,1996,01,07
4900,1996-01-08 00:00:00,406.16,1996,01,08
4901,1996-01-09 00:00:00,406.43,1996,01,09
4902,1996-01-10 00:00:00,407.54,1996,01,10
4903,1996-01-11 00:00:00,407.71,1996,01,11
4904,1996-01-12 00:00:00,406.63,1996,01,12
4905,1996-01-13 00:00:00,,1996,01,13
4906,1996-01-14 00:00:00,,1996,01,14
4907,1996-01-15 00:00:00,405.77,1996,01,15
4908,1996-01-16 00:00:00,405.95,1996,01,16
4909,1996-01-17 00:00:00,407.12,1996,01,17
4910,1996-01-18 00:00:00,408.06,1996,01,18
4911,1996-01-19 00:00:00,408.7,1996,01,19
4912,1996-01-20 00:00:00,,1996,01,20
4913,1996-01-21 00:00:00,,1996,01,21
4914,1996-01-22 00:00:00,409.59,1996,01,22
4915,1996-01-23 00:00:00,411.94,1996,01,23
4916,1996-01-24 00:00:00,410.68,1996,01,24
4917,1996-01-25 00:00:00,410.92,1996,01,25
4918,1996-01-26 00:00:00,410.4,1996,01,26
4919,1996-01-27 00:00:00,,1996,01,27
4920,1996-01-28 00:00:00,,1996,01,28
4921,1996-01-29 00:00:00,412.95,1996,01,29
4922,1996-01-30 00:00:00,413.86,1996,01,30
4923,1996-01-31 00:00:00,412.76,1996,01,31
4924,1996-02-01 00:00:00,412.29,1996,02,01
4925,1996-02-02 00:00:00,410.93,1996,02,02
4926,1996-02-03 00:00:00,,1996,02,03
4927,1996-02-04 00:00:00,,1996,02,04
4928,1996-02-05 00:00:00,409.77,1996,02,05
4929,1996-02-06 00:00:00,409.49,1996,02,06
4930,1996-02-07 00:00:00,409.98,1996,02,07
4931,1996-02-08 00:00:00,411.38,1996,02,08
4932,1996-02-09 00:00:00,410.08,1996,02,09
4933,1996-02-10 00:00:00,,1996,02,10
4934,1996-02-11 00:00:00,,1996,02,11
4935,1996-02-12 00:00:00,409.48,1996,02,12
4936,1996-02-13 00:00:00,409.34,1996,02,13
4937,1996-02-14 00:00:00,409.8,1996,02,14
4938,1996-02-15 00:00:00,410.14,1996,02,15
4939,1996-02-16 00:00:00,410.19,1996,02,16
4940,1996-02-17 00:00:00,,1996,02,17
4941,1996-02-18 00:00:00,,1996,02,18
4942,1996-02-19 00:00:00,411.44,1996,02,19
4943,1996-02-20 00:00:00,410.6,1996,02,20
4944,1996-02-21 00:00:00,411.76,1996,02,21
4945,1996-02-22 00:00:00,412.34,1996,02,22
