,Periodo,1.Dólar observado,anio,mes,dia
7450,2003-01-01 00:00:00,,2003,01,01
7451,2003-01-02 00:00:00,718.61,2003,01,02
7452,2003-01-03 00:00:00,718.73,2003,01,03
7453,2003-01-04 00:00:00,,2003,01,04
7454,2003-01-05 00:00:00,,2003,01,05
7455,2003-01-06 00:00:00,715.76,2003,01,06
7456,2003-01-07 00:00:00,710.19,2003,01,07
7457,2003-01-08 00:00:00,713.4,2003,01,08
7458,2003-01-09 00:00:00,709.22,2003,01,09
7459,2003-01-10 00:00:00,711.75,2003,01,10
7460,2003-01-11 00:00:00,,2003,01,11
7461,2003-01-12 00:00:00,,2003,01,12
7462,2003-01-13 00:00:00,713.07,2003,01,13
7463,2003-01-14 00:00:00,710.75,2003,01,14
7464,2003-01-15 00:00:00,712.61,2003,01,15
7465,2003-01-16 00:00:00,716.96,2003,01,16
7466,2003-01-17 00:00:00,720.66,2003,01,17
7467,2003-01-18 00:00:00,,2003,01,18
7468,2003-01-19 00:00:00,,2003,01,19
7469,2003-01-20 00:00:00,726.68,2003,01,20
7470,2003-01-21 00:00:00,725.56,2003,01,21
7471,2003-01-22 00:00:00,726.56,2003,01,22
7472,2003-01-23 00:00:00,732.55,2003,01,23
7473,2003-01-24 00:00:00,728.97,2003,01,24
7474,2003-01-25 00:00:00,,2003,01,25
7475,2003-01-26 00:00:00,,2003,01,26
7476,2003-01-27 00:00:00,734.35,2003,01,27
7477,2003-01-28 00:00:00,737.84,2003,01,28
7478,2003-01-29 00:00:00,737.08,2003,01,29
7479,2003-01-30 00:00:00,738.87,2003,01,30
7480,2003-01-31 00:00:00,734.34,2003,01,31
7481,2003-02-01 00:00:00,,2003,02,01
7482,2003-02-02 00:00:00,,2003,02,02
7483,2003-02-03 00:00:00,736.15,2003,02,03
7484,2003-02-04 00:00:00,733.1,2003,02,04
7485,2003-02-05 00:00:00,738.85,2003,02,05
7486,2003-02-06 00:00:00,744.67,2003,02,06
7487,2003-02-07 00:00:00,743.13,2003,02,07
7488,2003-02-08 00:00:00,,2003,02,08
7489,2003-02-09 00:00:00,,2003,02,09
7490,2003-02-10 00:00:00,741.48,2003,02,10
7491,2003-02-11 00:00:00,743.21,2003,02,11
7492,2003-02-12 00:00:00,743.09,2003,02,12
7493,2003-02-13 00:00:00,747.1,2003,02,13
7494,2003-02-14 00:00:00,748.9,2003,02,14
7495,2003-02-15 00:00:00,,2003,02,15
7496,2003-02-16 00:00:00,,2003,02,16
7497,2003-02-17 00:00:00,747.9,2003,02,17
7498,2003-02-18 00:00:00,742.14,2003,02,18
7499,2003-02-19 00:00:00,740.18,2003,02,19
7500,2003-02-20 00:00:00,743.85,2003,02,20
7501,2003-02-21 00:00:00,746.71,2003,02,21
7502,2003-02-22 00:00:00,,2003,02,22
7503,2003-02-23 00:00:00,,2003,02,23
7504,2003-02-24 00:00:00,749.36,2003,02,24
7505,2003-02-25 00:00:00,752.08,2003,02,25
7506,2003-02-26 00:00:00,755.26,2003,02,26
7507,2003-02-27 00:00:00,753.57,2003,02,27
7508,2003-02-28 00:00:00,753.54,2003,02,28
7509,2003-03-01 00:00:00,,2003,03,01
7510,2003-03-02 00:00:00,,2003,03,02
7511,2003-03-03 00:00:00,750.28,2003,03,03
7512,2003-03-04 00:00:00,748.11,2003,03,04
7513,2003-03-05 00:00:00,752.79,2003,03,05
7514,2003-03-06 00:00:00,755.52,2003,03,06
7515,2003-03-07 00:00:00,754.43,2003,03,07
7516,2003-03-08 00:00:00,,2003,03,08
7517,2003-03-09 00:00:00,,2003,03,09
7518,2003-03-10 00:00:00,756.79,2003,03,10
7519,2003-03-11 00:00:00,758.21,2003,03,11
7520,2003-03-12 00:00:00,754.77,2003,03,12
7521,2003-03-13 00:00:00,753.59,2003,03,13
7522,2003-03-14 00:00:00,748.09,2003,03,14
7523,2003-03-15 00:00:00,,2003,03,15
7524,2003-03-16 00:00:00,,2003,03,16
7525,2003-03-17 00:00:00,740.3,2003,03,17
7526,2003-03-18 00:00:00,741.61,2003,03,18
7527,2003-03-19 00:00:00,736.54,2003,03,19
7528,2003-03-20 00:00:00,737.38,2003,03,20
7529,2003-03-21 00:00:00,742.18,2003,03,21
7530,2003-03-22 00:00:00,,2003,03,22
7531,2003-03-23 00:00:00,,2003,03,23
7532,2003-03-24 00:00:00,734.25,2003,03,24
7533,2003-03-25 00:00:00,732.82,2003,03,25
7534,2003-03-26 00:00:00,728.27,2003,03,26
7535,2003-03-27 00:00:00,725.79,2003,03,27
7536,2003-03-28 00:00:00,729.87,2003,03,28
7537,2003-03-29 00:00:00,,2003,03,29
7538,2003-03-30 00:00:00,,2003,03,30
7539,2003-03-31 00:00:00,727.36,2003,03,31
7540,2003-04-01 00:00:00,731.56,2003,04,01
7541,2003-04-02 00:00:00,729.78,2003,04,02
7542,2003-04-03 00:00:00,721.61,2003,04,03
7543,2003-04-04 00:00:00,722.03,2003,04,04
7544,2003-04-05 00:00:00,,2003,04,05
7545,2003-04-06 00:00:00,,2003,04,06
7546,2003-04-07 00:00:00,721.54,2003,04,07
7547,2003-04-08 00:00:00,718.81,2003,04,08
7548,2003-04-09 00:00:00,719.96,2003,04,09
7549,2003-04-10 00:00:00,721.78,2003,04,10
7550,2003-04-11 00:00:00,725.04,2003,04,11
7551,2003-04-12 00:00:00,,2003,04,12
7552,2003-04-13 00:00:00,,2003,04,13
7553,2003-04-14 00:00:00,723.0,2003,04,14
7554,2003-04-15 00:00:00,720.49,2003,04,15
7555,2003-04-16 00:00:00,718.68,2003,04,16
7556,2003-04-17 00:00:00,715.11,2003,04,17
7557,2003-04-18 00:00:00,,2003,04,18
7558,2003-04-19 00:00:00,,2003,04,19
7559,2003-04-20 00:00:00,,2003,04,20
7560,2003-04-21 00:00:00,713.73,2003,04,21
7561,2003-04-22 00:00:00,714.38,2003,04,22
7562,2003-04-23 00:00:00,716.45,2003,04,23
7563,2003-04-24 00:00:00,712.51,2003,04,24
7564,2003-04-25 00:00:00,709.32,2003,04,25
7565,2003-04-26 00:00:00,,2003,04,26
7566,2003-04-27 00:00:00,,2003,04,27
7567,2003-04-28 00:00:00,712.06,2003,04,28
7568,2003-04-29 00:00:00,710.16,2003,04,29
7569,2003-04-30 00:00:00,705.32,2003,04,30
7570,2003-05-01 00:00:00,,2003,05,01
7571,2003-05-02 00:00:00,704.42,2003,05,02
7572,2003-05-03 00:00:00,,2003,05,03
7573,2003-05-04 00:00:00,,2003,05,04
7574,2003-05-05 00:00:00,700.72,2003,05,05
7575,2003-05-06 00:00:00,699.81,2003,05,06
7576,2003-05-07 00:00:00,701.2,2003,05,07
7577,2003-05-08 00:00:00,696.29,2003,05,08
7578,2003-05-09 00:00:00,694.98,2003,05,09
7579,2003-05-10 00:00:00,,2003,05,10
7580,2003-05-11 00:00:00,,2003,05,11
7581,2003-05-12 00:00:00,695.04,2003,05,12
7582,2003-05-13 00:00:00,696.53,2003,05,13
7583,2003-05-14 00:00:00,694.22,2003,05,14
7584,2003-05-15 00:00:00,698.87,2003,05,15
7585,2003-05-16 00:00:00,707.02,2003,05,16
7586,2003-05-17 00:00:00,,2003,05,17
7587,2003-05-18 00:00:00,,2003,05,18
7588,2003-05-19 00:00:00,708.72,2003,05,19
7589,2003-05-20 00:00:00,709.88,2003,05,20
7590,2003-05-21 00:00:00,,2003,05,21
7591,2003-05-22 00:00:00,713.73,2003,05,22
7592,2003-05-23 00:00:00,708.84,2003,05,23
7593,2003-05-24 00:00:00,,2003,05,24
7594,2003-05-25 00:00:00,,2003,05,25
7595,2003-05-26 00:00:00,705.3,2003,05,26
7596,2003-05-27 00:00:00,704.8,2003,05,27
7597,2003-05-28 00:00:00,708.89,2003,05,28
7598,2003-05-29 00:00:00,712.22,2003,05,29
7599,2003-05-30 00:00:00,710.12,2003,05,30
7600,2003-05-31 00:00:00,,2003,05,31
7601,2003-06-01 00:00:00,,2003,06,01
7602,2003-06-02 00:00:00,714.1,2003,06,02
7603,2003-06-03 00:00:00,710.25,2003,06,03
7604,2003-06-04 00:00:00,712.96,2003,06,04
7605,2003-06-05 00:00:00,713.16,2003,06,05
7606,2003-06-06 00:00:00,716.86,2003,06,06
7607,2003-06-07 00:00:00,,2003,06,07
7608,2003-06-08 00:00:00,,2003,06,08
7609,2003-06-09 00:00:00,712.25,2003,06,09
7610,2003-06-10 00:00:00,716.56,2003,06,10
7611,2003-06-11 00:00:00,717.4,2003,06,11
7612,2003-06-12 00:00:00,717.11,2003,06,12
7613,2003-06-13 00:00:00,708.31,2003,06,13
7614,2003-06-14 00:00:00,,2003,06,14
7615,2003-06-15 00:00:00,,2003,06,15
7616,2003-06-16 00:00:00,,2003,06,16
7617,2003-06-17 00:00:00,707.9,2003,06,17
7618,2003-06-18 00:00:00,705.24,2003,06,18
7619,2003-06-19 00:00:00,705.95,2003,06,19
7620,2003-06-20 00:00:00,707.19,2003,06,20
7621,2003-06-21 00:00:00,,2003,06,21
7622,2003-06-22 00:00:00,,2003,06,22
7623,2003-06-23 00:00:00,705.75,2003,06,23
7624,2003-06-24 00:00:00,705.46,2003,06,24
7625,2003-06-25 00:00:00,703.12,2003,06,25
7626,2003-06-26 00:00:00,703.89,2003,06,26
7627,2003-06-27 00:00:00,703.0,2003,06,27
7628,2003-06-28 00:00:00,,2003,06,28
7629,2003-06-29 00:00:00,,2003,06,29
7630,2003-06-30 00:00:00,697.23,2003,06,30
7631,2003-07-01 00:00:00,699.12,2003,07,01
7632,2003-07-02 00:00:00,698.53,2003,07,02
7633,2003-07-03 00:00:00,695.82,2003,07,03
7634,2003-07-04 00:00:00,697.11,2003,07,04
7635,2003-07-05 00:00:00,,2003,07,05
7636,2003-07-06 00:00:00,,2003,07,06
7637,2003-07-07 00:00:00,697.91,2003,07,07
7638,2003-07-08 00:00:00,697.5,2003,07,08
7639,2003-07-09 00:00:00,704.46,2003,07,09
7640,2003-07-10 00:00:00,703.47,2003,07,10
7641,2003-07-11 00:00:00,704.99,2003,07,11
7642,2003-07-12 00:00:00,,2003,07,12
7643,2003-07-13 00:00:00,,2003,07,13
7644,2003-07-14 00:00:00,704.57,2003,07,14
7645,2003-07-15 00:00:00,702.47,2003,07,15
7646,2003-07-16 00:00:00,699.57,2003,07,16
7647,2003-07-17 00:00:00,698.55,2003,07,17
7648,2003-07-18 00:00:00,698.31,2003,07,18
7649,2003-07-19 00:00:00,,2003,07,19
7650,2003-07-20 00:00:00,,2003,07,20
7651,2003-07-21 00:00:00,701.34,2003,07,21
7652,2003-07-22 00:00:00,701.86,2003,07,22
7653,2003-07-23 00:00:00,702.72,2003,07,23
7654,2003-07-24 00:00:00,704.85,2003,07,24
7655,2003-07-25 00:00:00,703.64,2003,07,25
7656,2003-07-26 00:00:00,,2003,07,26
7657,2003-07-27 00:00:00,,2003,07,27
7658,2003-07-28 00:00:00,701.61,2003,07,28
7659,2003-07-29 00:00:00,699.97,2003,07,29
7660,2003-07-30 00:00:00,702.22,2003,07,30
7661,2003-07-31 00:00:00,705.64,2003,07,31
7662,2003-08-01 00:00:00,706.21,2003,08,01
7663,2003-08-02 00:00:00,,2003,08,02
7664,2003-08-03 00:00:00,,2003,08,03
7665,2003-08-04 00:00:00,708.34,2003,08,04
7666,2003-08-05 00:00:00,713.22,2003,08,05
7667,2003-08-06 00:00:00,713.15,2003,08,06
7668,2003-08-07 00:00:00,710.86,2003,08,07
7669,2003-08-08 00:00:00,707.23,2003,08,08
7670,2003-08-09 00:00:00,,2003,08,09
7671,2003-08-10 00:00:00,,2003,08,10
7672,2003-08-11 00:00:00,702.15,2003,08,11
7673,2003-08-12 00:00:00,702.09,2003,08,12
7674,2003-08-13 00:00:00,703.52,2003,08,13
7675,2003-08-14 00:00:00,704.26,2003,08,14
7676,2003-08-15 00:00:00,,2003,08,15
7677,2003-08-16 00:00:00,,2003,08,16
7678,2003-08-17 00:00:00,,2003,08,17
7679,2003-08-18 00:00:00,703.43,2003,08,18
7680,2003-08-19 00:00:00,702.99,2003,08,19
7681,2003-08-20 00:00:00,704.25,2003,08,20
7682,2003-08-21 00:00:00,702.68,2003,08,21
7683,2003-08-22 00:00:00,699.18,2003,08,22
7684,2003-08-23 00:00:00,,2003,08,23
7685,2003-08-24 00:00:00,,2003,08,24
7686,2003-08-25 00:00:00,697.31,2003,08,25
7687,2003-08-26 00:00:00,697.11,2003,08,26
7688,2003-08-27 00:00:00,698.34,2003,08,27
7689,2003-08-28 00:00:00,699.74,2003,08,28
7690,2003-08-29 00:00:00,699.39,2003,08,29
7691,2003-08-30 00:00:00,,2003,08,30
7692,2003-08-31 00:00:00,,2003,08,31
7693,2003-09-01 00:00:00,697.91,2003,09,01
7694,2003-09-02 00:00:00,697.57,2003,09,02
7695,2003-09-03 00:00:00,696.21,2003,09,03
7696,2003-09-04 00:00:00,692.26,2003,09,04
7697,2003-09-05 00:00:00,685.41,2003,09,05
7698,2003-09-06 00:00:00,,2003,09,06
7699,2003-09-07 00:00:00,,2003,09,07
7700,2003-09-08 00:00:00,682.51,2003,09,08
7701,2003-09-09 00:00:00,682.23,2003,09,09
7702,2003-09-10 00:00:00,683.52,2003,09,10
7703,2003-09-11 00:00:00,680.76,2003,09,11
7704,2003-09-12 00:00:00,673.99,2003,09,12
7705,2003-09-13 00:00:00,,2003,09,13
7706,2003-09-14 00:00:00,,2003,09,14
7707,2003-09-15 00:00:00,671.08,2003,09,15
7708,2003-09-16 00:00:00,671.01,2003,09,16
7709,2003-09-17 00:00:00,667.72,2003,09,17
7710,2003-09-18 00:00:00,,2003,09,18
7711,2003-09-19 00:00:00,,2003,09,19
7712,2003-09-20 00:00:00,,2003,09,20
7713,2003-09-21 00:00:00,,2003,09,21
7714,2003-09-22 00:00:00,666.38,2003,09,22
7715,2003-09-23 00:00:00,659.49,2003,09,23
7716,2003-09-24 00:00:00,655.92,2003,09,24
7717,2003-09-25 00:00:00,657.11,2003,09,25
7718,2003-09-26 00:00:00,658.57,2003,09,26
7719,2003-09-27 00:00:00,,2003,09,27
7720,2003-09-28 00:00:00,,2003,09,28
7721,2003-09-29 00:00:00,664.06,2003,09,29
7722,2003-09-30 00:00:00,665.13,2003,09,30
7723,2003-10-01 00:00:00,660.97,2003,10,01
7724,2003-10-02 00:00:00,657.78,2003,10,02
7725,2003-10-03 00:00:00,661.63,2003,10,03
7726,2003-10-04 00:00:00,,2003,10,04
7727,2003-10-05 00:00:00,,2003,10,05
7728,2003-10-06 00:00:00,659.85,2003,10,06
7729,2003-10-07 00:00:00,659.86,2003,10,07
7730,2003-10-08 00:00:00,654.91,2003,10,08
7731,2003-10-09 00:00:00,646.5,2003,10,09
7732,2003-10-10 00:00:00,644.92,2003,10,10
7733,2003-10-11 00:00:00,,2003,10,11
7734,2003-10-12 00:00:00,,2003,10,12
7735,2003-10-13 00:00:00,646.41,2003,10,13
7736,2003-10-14 00:00:00,644.52,2003,10,14
7737,2003-10-15 00:00:00,641.71,2003,10,15
7738,2003-10-16 00:00:00,647.26,2003,10,16
7739,2003-10-17 00:00:00,645.43,2003,10,17
7740,2003-10-18 00:00:00,,2003,10,18
7741,2003-10-19 00:00:00,,2003,10,19
7742,2003-10-20 00:00:00,648.55,2003,10,20
7743,2003-10-21 00:00:00,646.52,2003,10,21
7744,2003-10-22 00:00:00,645.16,2003,10,22
7745,2003-10-23 00:00:00,642.21,2003,10,23
7746,2003-10-24 00:00:00,635.25,2003,10,24
7747,2003-10-25 00:00:00,,2003,10,25
7748,2003-10-26 00:00:00,,2003,10,26
7749,2003-10-27 00:00:00,635.29,2003,10,27
7750,2003-10-28 00:00:00,636.01,2003,10,28
7751,2003-10-29 00:00:00,635.88,2003,10,29
7752,2003-10-30 00:00:00,634.88,2003,10,30
7753,2003-10-31 00:00:00,628.1,2003,10,31
7754,2003-11-01 00:00:00,,2003,11,01
7755,2003-11-02 00:00:00,,2003,11,02
7756,2003-11-03 00:00:00,626.93,2003,11,03
7757,2003-11-04 00:00:00,626.64,2003,11,04
7758,2003-11-05 00:00:00,625.52,2003,11,05
7759,2003-11-06 00:00:00,626.02,2003,11,06
7760,2003-11-07 00:00:00,628.86,2003,11,07
7761,2003-11-08 00:00:00,,2003,11,08
7762,2003-11-09 00:00:00,,2003,11,09
7763,2003-11-10 00:00:00,618.83,2003,11,10
7764,2003-11-11 00:00:00,616.34,2003,11,11
7765,2003-11-12 00:00:00,623.6,2003,11,12
7766,2003-11-13 00:00:00,627.09,2003,11,13
7767,2003-11-14 00:00:00,626.55,2003,11,14
7768,2003-11-15 00:00:00,,2003,11,15
7769,2003-11-16 00:00:00,,2003,11,16
7770,2003-11-17 00:00:00,624.61,2003,11,17
7771,2003-11-18 00:00:00,621.57,2003,11,18
7772,2003-11-19 00:00:00,629.0,2003,11,19
