,Periodo,1.Dólar observado,anio,mes,dia
8911,2007-01-01 00:00:00,,2007,01,01
8912,2007-01-02 00:00:00,532.39,2007,01,02
8913,2007-01-03 00:00:00,534.42,2007,01,03
8914,2007-01-04 00:00:00,538.22,2007,01,04
8915,2007-01-05 00:00:00,540.69,2007,01,05
8916,2007-01-06 00:00:00,,2007,01,06
8917,2007-01-07 00:00:00,,2007,01,07
8918,2007-01-08 00:00:00,540.41,2007,01,08
8919,2007-01-09 00:00:00,543.15,2007,01,09
8920,2007-01-10 00:00:00,542.27,2007,01,10
8921,2007-01-11 00:00:00,543.29,2007,01,11
8922,2007-01-12 00:00:00,538.27,2007,01,12
8923,2007-01-13 00:00:00,,2007,01,13
8924,2007-01-14 00:00:00,,2007,01,14
8925,2007-01-15 00:00:00,539.74,2007,01,15
8926,2007-01-16 00:00:00,540.38,2007,01,16
8927,2007-01-17 00:00:00,542.59,2007,01,17
8928,2007-01-18 00:00:00,542.75,2007,01,18
8929,2007-01-19 00:00:00,540.98,2007,01,19
8930,2007-01-20 00:00:00,,2007,01,20
8931,2007-01-21 00:00:00,,2007,01,21
8932,2007-01-22 00:00:00,541.54,2007,01,22
8933,2007-01-23 00:00:00,540.1,2007,01,23
8934,2007-01-24 00:00:00,540.84,2007,01,24
8935,2007-01-25 00:00:00,539.05,2007,01,25
8936,2007-01-26 00:00:00,538.88,2007,01,26
8937,2007-01-27 00:00:00,,2007,01,27
8938,2007-01-28 00:00:00,,2007,01,28
8939,2007-01-29 00:00:00,542.12,2007,01,29
8940,2007-01-30 00:00:00,543.96,2007,01,30
8941,2007-01-31 00:00:00,545.18,2007,01,31
8942,2007-02-01 00:00:00,544.49,2007,02,01
8943,2007-02-02 00:00:00,543.07,2007,02,02
8944,2007-02-03 00:00:00,,2007,02,03
8945,2007-02-04 00:00:00,,2007,02,04
8946,2007-02-05 00:00:00,546.31,2007,02,05
8947,2007-02-06 00:00:00,547.07,2007,02,06
8948,2007-02-07 00:00:00,547.24,2007,02,07
8949,2007-02-08 00:00:00,548.67,2007,02,08
8950,2007-02-09 00:00:00,548.22,2007,02,09
8951,2007-02-10 00:00:00,,2007,02,10
8952,2007-02-11 00:00:00,,2007,02,11
8953,2007-02-12 00:00:00,545.84,2007,02,12
8954,2007-02-13 00:00:00,546.43,2007,02,13
8955,2007-02-14 00:00:00,543.94,2007,02,14
8956,2007-02-15 00:00:00,540.67,2007,02,15
8957,2007-02-16 00:00:00,539.07,2007,02,16
8958,2007-02-17 00:00:00,,2007,02,17
8959,2007-02-18 00:00:00,,2007,02,18
8960,2007-02-19 00:00:00,540.04,2007,02,19
8961,2007-02-20 00:00:00,539.58,2007,02,20
8962,2007-02-21 00:00:00,539.06,2007,02,21
8963,2007-02-22 00:00:00,539.69,2007,02,22
8964,2007-02-23 00:00:00,536.21,2007,02,23
8965,2007-02-24 00:00:00,,2007,02,24
8966,2007-02-25 00:00:00,,2007,02,25
8967,2007-02-26 00:00:00,536.02,2007,02,26
8968,2007-02-27 00:00:00,535.29,2007,02,27
8969,2007-02-28 00:00:00,538.42,2007,02,28
8970,2007-03-01 00:00:00,540.07,2007,03,01
8971,2007-03-02 00:00:00,541.42,2007,03,02
8972,2007-03-03 00:00:00,,2007,03,03
8973,2007-03-04 00:00:00,,2007,03,04
8974,2007-03-05 00:00:00,540.49,2007,03,05
8975,2007-03-06 00:00:00,541.95,2007,03,06
8976,2007-03-07 00:00:00,537.85,2007,03,07
8977,2007-03-08 00:00:00,537.43,2007,03,08
8978,2007-03-09 00:00:00,536.81,2007,03,09
