,Periodo,1.Dólar observado,anio,mes,dia
5989,1999-01-01 00:00:00,,1999,01,01
5990,1999-01-02 00:00:00,,1999,01,02
5991,1999-01-03 00:00:00,,1999,01,03
5992,1999-01-04 00:00:00,472.41,1999,01,04
5993,1999-01-05 00:00:00,471.61,1999,01,05
5994,1999-01-06 00:00:00,470.57,1999,01,06
5995,1999-01-07 00:00:00,468.69,1999,01,07
5996,1999-01-08 00:00:00,470.88,1999,01,08
5997,1999-01-09 00:00:00,,1999,01,09
5998,1999-01-10 00:00:00,,1999,01,10
5999,1999-01-11 00:00:00,470.23,1999,01,11
6000,1999-01-12 00:00:00,471.12,1999,01,12
6001,1999-01-13 00:00:00,473.36,1999,01,13
6002,1999-01-14 00:00:00,477.96,1999,01,14
6003,1999-01-15 00:00:00,476.01,1999,01,15
6004,1999-01-16 00:00:00,,1999,01,16
6005,1999-01-17 00:00:00,,1999,01,17
6006,1999-01-18 00:00:00,478.77,1999,01,18
6007,1999-01-19 00:00:00,476.91,1999,01,19
6008,1999-01-20 00:00:00,478.54,1999,01,20
6009,1999-01-21 00:00:00,478.51,1999,01,21
6010,1999-01-22 00:00:00,478.38,1999,01,22
6011,1999-01-23 00:00:00,,1999,01,23
6012,1999-01-24 00:00:00,,1999,01,24
6013,1999-01-25 00:00:00,479.37,1999,01,25
6014,1999-01-26 00:00:00,478.34,1999,01,26
6015,1999-01-27 00:00:00,478.28,1999,01,27
6016,1999-01-28 00:00:00,480.44,1999,01,28
6017,1999-01-29 00:00:00,483.25,1999,01,29
6018,1999-01-30 00:00:00,,1999,01,30
6019,1999-01-31 00:00:00,,1999,01,31
6020,1999-02-01 00:00:00,488.34,1999,02,01
6021,1999-02-02 00:00:00,488.71,1999,02,02
6022,1999-02-03 00:00:00,490.99,1999,02,03
6023,1999-02-04 00:00:00,492.44,1999,02,04
6024,1999-02-05 00:00:00,489.92,1999,02,05
6025,1999-02-06 00:00:00,,1999,02,06
6026,1999-02-07 00:00:00,,1999,02,07
6027,1999-02-08 00:00:00,488.01,1999,02,08
6028,1999-02-09 00:00:00,489.75,1999,02,09
6029,1999-02-10 00:00:00,492.53,1999,02,10
6030,1999-02-11 00:00:00,492.7,1999,02,11
6031,1999-02-12 00:00:00,493.26,1999,02,12
6032,1999-02-13 00:00:00,,1999,02,13
6033,1999-02-14 00:00:00,,1999,02,14
6034,1999-02-15 00:00:00,493.47,1999,02,15
6035,1999-02-16 00:00:00,496.64,1999,02,16
6036,1999-02-17 00:00:00,497.57,1999,02,17
6037,1999-02-18 00:00:00,497.71,1999,02,18
6038,1999-02-19 00:00:00,496.54,1999,02,19
6039,1999-02-20 00:00:00,,1999,02,20
6040,1999-02-21 00:00:00,,1999,02,21
6041,1999-02-22 00:00:00,495.88,1999,02,22
6042,1999-02-23 00:00:00,494.29,1999,02,23
6043,1999-02-24 00:00:00,494.82,1999,02,24
6044,1999-02-25 00:00:00,496.66,1999,02,25
6045,1999-02-26 00:00:00,498.74,1999,02,26
6046,1999-02-27 00:00:00,,1999,02,27
6047,1999-02-28 00:00:00,,1999,02,28
6048,1999-03-01 00:00:00,501.15,1999,03,01
6049,1999-03-02 00:00:00,502.46,1999,03,02
6050,1999-03-03 00:00:00,502.35,1999,03,03
6051,1999-03-04 00:00:00,500.55,1999,03,04
6052,1999-03-05 00:00:00,496.69,1999,03,05
6053,1999-03-06 00:00:00,,1999,03,06
6054,1999-03-07 00:00:00,,1999,03,07
6055,1999-03-08 00:00:00,499.38,1999,03,08
6056,1999-03-09 00:00:00,495.12,1999,03,09
6057,1999-03-10 00:00:00,493.1,1999,03,10
6058,1999-03-11 00:00:00,492.54,1999,03,11
6059,1999-03-12 00:00:00,489.76,1999,03,12
6060,1999-03-13 00:00:00,,1999,03,13
6061,1999-03-14 00:00:00,,1999,03,14
6062,1999-03-15 00:00:00,490.34,1999,03,15
6063,1999-03-16 00:00:00,492.63,1999,03,16
6064,1999-03-17 00:00:00,489.86,1999,03,17
6065,1999-03-18 00:00:00,489.68,1999,03,18
6066,1999-03-19 00:00:00,489.83,1999,03,19
6067,1999-03-20 00:00:00,,1999,03,20
6068,1999-03-21 00:00:00,,1999,03,21
6069,1999-03-22 00:00:00,489.64,1999,03,22
6070,1999-03-23 00:00:00,489.45,1999,03,23
6071,1999-03-24 00:00:00,489.95,1999,03,24
6072,1999-03-25 00:00:00,490.15,1999,03,25
6073,1999-03-26 00:00:00,487.99,1999,03,26
