,Periodo,1.Dólar observado,anio,mes,dia
5259,1997-01-01 00:00:00,,1997,01,01
5260,1997-01-02 00:00:00,424.87,1997,01,02
5261,1997-01-03 00:00:00,424.29,1997,01,03
5262,1997-01-04 00:00:00,,1997,01,04
5263,1997-01-05 00:00:00,,1997,01,05
5264,1997-01-06 00:00:00,424.41,1997,01,06
5265,1997-01-07 00:00:00,425.41,1997,01,07
5266,1997-01-08 00:00:00,424.34,1997,01,08
5267,1997-01-09 00:00:00,425.29,1997,01,09
5268,1997-01-10 00:00:00,425.17,1997,01,10
5269,1997-01-11 00:00:00,,1997,01,11
5270,1997-01-12 00:00:00,,1997,01,12
5271,1997-01-13 00:00:00,425.18,1997,01,13
5272,1997-01-14 00:00:00,425.45,1997,01,14
5273,1997-01-15 00:00:00,425.34,1997,01,15
5274,1997-01-16 00:00:00,425.75,1997,01,16
5275,1997-01-17 00:00:00,425.26,1997,01,17
5276,1997-01-18 00:00:00,,1997,01,18
5277,1997-01-19 00:00:00,,1997,01,19
5278,1997-01-20 00:00:00,425.89,1997,01,20
5279,1997-01-21 00:00:00,427.94,1997,01,21
5280,1997-01-22 00:00:00,421.95,1997,01,22
5281,1997-01-23 00:00:00,422.13,1997,01,23
5282,1997-01-24 00:00:00,422.22,1997,01,24
5283,1997-01-25 00:00:00,,1997,01,25
5284,1997-01-26 00:00:00,,1997,01,26
5285,1997-01-27 00:00:00,421.69,1997,01,27
5286,1997-01-28 00:00:00,420.75,1997,01,28
5287,1997-01-29 00:00:00,420.55,1997,01,29
5288,1997-01-30 00:00:00,420.07,1997,01,30
5289,1997-01-31 00:00:00,419.5,1997,01,31
5290,1997-02-01 00:00:00,,1997,02,01
5291,1997-02-02 00:00:00,,1997,02,02
5292,1997-02-03 00:00:00,420.11,1997,02,03
5293,1997-02-04 00:00:00,419.64,1997,02,04
5294,1997-02-05 00:00:00,419.23,1997,02,05
5295,1997-02-06 00:00:00,419.07,1997,02,06
5296,1997-02-07 00:00:00,418.53,1997,02,07
5297,1997-02-08 00:00:00,,1997,02,08
5298,1997-02-09 00:00:00,,1997,02,09
5299,1997-02-10 00:00:00,417.75,1997,02,10
5300,1997-02-11 00:00:00,417.39,1997,02,11
5301,1997-02-12 00:00:00,417.41,1997,02,12
5302,1997-02-13 00:00:00,416.8,1997,02,13
5303,1997-02-14 00:00:00,416.19,1997,02,14
5304,1997-02-15 00:00:00,,1997,02,15
5305,1997-02-16 00:00:00,,1997,02,16
5306,1997-02-17 00:00:00,415.98,1997,02,17
5307,1997-02-18 00:00:00,415.96,1997,02,18
5308,1997-02-19 00:00:00,416.15,1997,02,19
5309,1997-02-20 00:00:00,414.81,1997,02,20
5310,1997-02-21 00:00:00,413.09,1997,02,21
5311,1997-02-22 00:00:00,,1997,02,22
5312,1997-02-23 00:00:00,,1997,02,23
5313,1997-02-24 00:00:00,413.31,1997,02,24
5314,1997-02-25 00:00:00,413.44,1997,02,25
5315,1997-02-26 00:00:00,413.57,1997,02,26
5316,1997-02-27 00:00:00,412.89,1997,02,27
5317,1997-02-28 00:00:00,412.51,1997,02,28
5318,1997-03-01 00:00:00,,1997,03,01
5319,1997-03-02 00:00:00,,1997,03,02
5320,1997-03-03 00:00:00,413.13,1997,03,03
5321,1997-03-04 00:00:00,413.63,1997,03,04
5322,1997-03-05 00:00:00,414.39,1997,03,05
5323,1997-03-06 00:00:00,414.59,1997,03,06
5324,1997-03-07 00:00:00,414.78,1997,03,07
5325,1997-03-08 00:00:00,,1997,03,08
5326,1997-03-09 00:00:00,,1997,03,09
5327,1997-03-10 00:00:00,414.27,1997,03,10
5328,1997-03-11 00:00:00,414.1,1997,03,11
5329,1997-03-12 00:00:00,413.64,1997,03,12
5330,1997-03-13 00:00:00,412.99,1997,03,13
5331,1997-03-14 00:00:00,412.38,1997,03,14
5332,1997-03-15 00:00:00,,1997,03,15
5333,1997-03-16 00:00:00,,1997,03,16
5334,1997-03-17 00:00:00,413.59,1997,03,17
5335,1997-03-18 00:00:00,413.08,1997,03,18
5336,1997-03-19 00:00:00,413.38,1997,03,19
5337,1997-03-20 00:00:00,413.22,1997,03,20
5338,1997-03-21 00:00:00,413.47,1997,03,21
5339,1997-03-22 00:00:00,,1997,03,22
5340,1997-03-23 00:00:00,,1997,03,23
5341,1997-03-24 00:00:00,414.9,1997,03,24
5342,1997-03-25 00:00:00,415.62,1997,03,25
5343,1997-03-26 00:00:00,415.83,1997,03,26
5344,1997-03-27 00:00:00,415.28,1997,03,27
5345,1997-03-28 00:00:00,,1997,03,28
5346,1997-03-29 00:00:00,,1997,03,29
5347,1997-03-30 00:00:00,,1997,03,30
5348,1997-03-31 00:00:00,414.79,1997,03,31
5349,1997-04-01 00:00:00,415.69,1997,04,01
5350,1997-04-02 00:00:00,416.07,1997,04,02
5351,1997-04-03 00:00:00,416.39,1997,04,03
5352,1997-04-04 00:00:00,416.17,1997,04,04
5353,1997-04-05 00:00:00,,1997,04,05
5354,1997-04-06 00:00:00,,1997,04,06
5355,1997-04-07 00:00:00,416.89,1997,04,07
5356,1997-04-08 00:00:00,416.7,1997,04,08
5357,1997-04-09 00:00:00,417.12,1997,04,09
5358,1997-04-10 00:00:00,418.25,1997,04,10
5359,1997-04-11 00:00:00,418.8,1997,04,11
5360,1997-04-12 00:00:00,,1997,04,12
5361,1997-04-13 00:00:00,,1997,04,13
5362,1997-04-14 00:00:00,419.29,1997,04,14
5363,1997-04-15 00:00:00,418.45,1997,04,15
5364,1997-04-16 00:00:00,417.88,1997,04,16
5365,1997-04-17 00:00:00,417.9,1997,04,17
5366,1997-04-18 00:00:00,417.8,1997,04,18
5367,1997-04-19 00:00:00,,1997,04,19
5368,1997-04-20 00:00:00,,1997,04,20
5369,1997-04-21 00:00:00,416.84,1997,04,21
5370,1997-04-22 00:00:00,417.13,1997,04,22
5371,1997-04-23 00:00:00,417.91,1997,04,23
5372,1997-04-24 00:00:00,418.26,1997,04,24
5373,1997-04-25 00:00:00,417.92,1997,04,25
5374,1997-04-26 00:00:00,,1997,04,26
5375,1997-04-27 00:00:00,,1997,04,27
5376,1997-04-28 00:00:00,418.01,1997,04,28
5377,1997-04-29 00:00:00,418.41,1997,04,29
5378,1997-04-30 00:00:00,418.88,1997,04,30
5379,1997-05-01 00:00:00,,1997,05,01
5380,1997-05-02 00:00:00,419.09,1997,05,02
5381,1997-05-03 00:00:00,,1997,05,03
5382,1997-05-04 00:00:00,,1997,05,04
5383,1997-05-05 00:00:00,418.04,1997,05,05
5384,1997-05-06 00:00:00,418.05,1997,05,06
5385,1997-05-07 00:00:00,418.08,1997,05,07
5386,1997-05-08 00:00:00,418.1,1997,05,08
5387,1997-05-09 00:00:00,418.0,1997,05,09
5388,1997-05-10 00:00:00,,1997,05,10
5389,1997-05-11 00:00:00,,1997,05,11
5390,1997-05-12 00:00:00,417.99,1997,05,12
5391,1997-05-13 00:00:00,417.76,1997,05,13
5392,1997-05-14 00:00:00,418.59,1997,05,14
5393,1997-05-15 00:00:00,418.83,1997,05,15
5394,1997-05-16 00:00:00,418.48,1997,05,16
5395,1997-05-17 00:00:00,,1997,05,17
5396,1997-05-18 00:00:00,,1997,05,18
5397,1997-05-19 00:00:00,418.47,1997,05,19
5398,1997-05-20 00:00:00,418.84,1997,05,20
5399,1997-05-21 00:00:00,,1997,05,21
5400,1997-05-22 00:00:00,419.02,1997,05,22
5401,1997-05-23 00:00:00,418.91,1997,05,23
5402,1997-05-24 00:00:00,,1997,05,24
5403,1997-05-25 00:00:00,,1997,05,25
5404,1997-05-26 00:00:00,419.39,1997,05,26
5405,1997-05-27 00:00:00,419.53,1997,05,27
5406,1997-05-28 00:00:00,419.37,1997,05,28
5407,1997-05-29 00:00:00,,1997,05,29
5408,1997-05-30 00:00:00,419.03,1997,05,30
5409,1997-05-31 00:00:00,,1997,05,31
5410,1997-06-01 00:00:00,,1997,06,01
5411,1997-06-02 00:00:00,418.92,1997,06,02
5412,1997-06-03 00:00:00,419.07,1997,06,03
5413,1997-06-04 00:00:00,418.64,1997,06,04
5414,1997-06-05 00:00:00,418.66,1997,06,05
5415,1997-06-06 00:00:00,418.52,1997,06,06
5416,1997-06-07 00:00:00,,1997,06,07
5417,1997-06-08 00:00:00,,1997,06,08
5418,1997-06-09 00:00:00,418.28,1997,06,09
5419,1997-06-10 00:00:00,417.91,1997,06,10
5420,1997-06-11 00:00:00,417.78,1997,06,11
5421,1997-06-12 00:00:00,417.17,1997,06,12
5422,1997-06-13 00:00:00,416.61,1997,06,13
5423,1997-06-14 00:00:00,,1997,06,14
5424,1997-06-15 00:00:00,,1997,06,15
5425,1997-06-16 00:00:00,416.37,1997,06,16
5426,1997-06-17 00:00:00,415.83,1997,06,17
5427,1997-06-18 00:00:00,416.74,1997,06,18
5428,1997-06-19 00:00:00,416.77,1997,06,19
5429,1997-06-20 00:00:00,417.16,1997,06,20
5430,1997-06-21 00:00:00,,1997,06,21
5431,1997-06-22 00:00:00,,1997,06,22
5432,1997-06-23 00:00:00,417.1,1997,06,23
5433,1997-06-24 00:00:00,417.23,1997,06,24
5434,1997-06-25 00:00:00,417.27,1997,06,25
5435,1997-06-26 00:00:00,417.06,1997,06,26
5436,1997-06-27 00:00:00,416.57,1997,06,27
5437,1997-06-28 00:00:00,,1997,06,28
5438,1997-06-29 00:00:00,,1997,06,29
5439,1997-06-30 00:00:00,416.06,1997,06,30
5440,1997-07-01 00:00:00,416.47,1997,07,01
5441,1997-07-02 00:00:00,416.27,1997,07,02
5442,1997-07-03 00:00:00,415.85,1997,07,03
5443,1997-07-04 00:00:00,415.83,1997,07,04
5444,1997-07-05 00:00:00,,1997,07,05
5445,1997-07-06 00:00:00,,1997,07,06
5446,1997-07-07 00:00:00,416.3,1997,07,07
5447,1997-07-08 00:00:00,416.36,1997,07,08
5448,1997-07-09 00:00:00,416.5,1997,07,09
5449,1997-07-10 00:00:00,416.74,1997,07,10
5450,1997-07-11 00:00:00,416.35,1997,07,11
5451,1997-07-12 00:00:00,,1997,07,12
5452,1997-07-13 00:00:00,,1997,07,13
5453,1997-07-14 00:00:00,416.12,1997,07,14
5454,1997-07-15 00:00:00,416.59,1997,07,15
5455,1997-07-16 00:00:00,416.36,1997,07,16
5456,1997-07-17 00:00:00,416.91,1997,07,17
5457,1997-07-18 00:00:00,416.62,1997,07,18
5458,1997-07-19 00:00:00,,1997,07,19
5459,1997-07-20 00:00:00,,1997,07,20
5460,1997-07-21 00:00:00,417.04,1997,07,21
5461,1997-07-22 00:00:00,417.07,1997,07,22
5462,1997-07-23 00:00:00,417.19,1997,07,23
5463,1997-07-24 00:00:00,417.21,1997,07,24
5464,1997-07-25 00:00:00,416.84,1997,07,25
5465,1997-07-26 00:00:00,,1997,07,26
5466,1997-07-27 00:00:00,,1997,07,27
5467,1997-07-28 00:00:00,416.98,1997,07,28
5468,1997-07-29 00:00:00,416.95,1997,07,29
5469,1997-07-30 00:00:00,416.66,1997,07,30
5470,1997-07-31 00:00:00,416.78,1997,07,31
5471,1997-08-01 00:00:00,416.87,1997,08,01
5472,1997-08-02 00:00:00,,1997,08,02
5473,1997-08-03 00:00:00,,1997,08,03
5474,1997-08-04 00:00:00,417.1,1997,08,04
5475,1997-08-05 00:00:00,416.82,1997,08,05
5476,1997-08-06 00:00:00,415.99,1997,08,06
5477,1997-08-07 00:00:00,414.88,1997,08,07
5478,1997-08-08 00:00:00,413.7,1997,08,08
5479,1997-08-09 00:00:00,,1997,08,09
5480,1997-08-10 00:00:00,,1997,08,10
5481,1997-08-11 00:00:00,413.23,1997,08,11
5482,1997-08-12 00:00:00,413.05,1997,08,12
5483,1997-08-13 00:00:00,413.94,1997,08,13
5484,1997-08-14 00:00:00,413.11,1997,08,14
5485,1997-08-15 00:00:00,,1997,08,15
5486,1997-08-16 00:00:00,,1997,08,16
5487,1997-08-17 00:00:00,,1997,08,17
5488,1997-08-18 00:00:00,413.72,1997,08,18
5489,1997-08-19 00:00:00,414.13,1997,08,19
5490,1997-08-20 00:00:00,414.61,1997,08,20
5491,1997-08-21 00:00:00,414.31,1997,08,21
